1582001537.8301709,12.54,0.03
1582001538.3142583,12.54,0.20
1582001538.829724,12.54,0.05
1582001539.34494,12.54,0.05
1582001539.8604443,12.54,0.05
1582001540.3760197,12.54,0.06
1582001540.8921313,12.54,0.05
1582001541.4229538,12.54,0.05
1582001541.9384964,12.54,0.05
1582001542.4538968,12.54,0.29
1582001542.9847286,12.54,0.05
1582001543.500222,12.54,0.05
1582001544.0161796,12.54,0.05
1582001544.531578,12.54,0.05
1582001545.0623524,12.54,0.05
1582001545.577856,12.54,0.05
1582001546.0933583,12.54,0.05
1582001546.6093426,12.54,0.05
1582001547.1399739,12.54,0.05
1582001547.6554756,12.53,0.34
1582001548.1709921,12.53,0.61
1582001548.6864958,12.53,0.60
1582001549.2024903,12.53,0.68
1582001549.7331407,12.51,1.11
1582001550.2489119,12.51,1.68
1582001550.779747,12.50,1.83
1582001551.2952483,12.49,2.52
1582001551.7951367,12.47,3.09
1582001552.311155,12.45,3.67
1582001552.8418243,12.41,5.15
1582001553.357267,12.39,6.93
1582001553.8727615,12.32,10.58
1582001554.3887157,12.29,11.41
1582001554.904493,12.29,10.37
1582001555.4349065,12.26,12.12
1582001555.9511068,12.16,16.61
1582001556.4658923,12.14,16.92
1582001556.9814818,12.11,17.93
1582001557.497568,12.03,21.43
1582001558.0280354,11.97,24.01
1582001558.5435295,11.95,24.41
1582001559.0746632,11.85,29.31
1582001559.5750875,11.81,29.67
1582001560.1056676,11.73,33.29
1582001560.6214447,11.63,37.61
1582001561.1366675,11.52,43.03
1582001561.6521683,11.44,46.41
1582001562.1679966,11.40,47.44
1582001562.6835718,11.28,53.31
1582001563.214339,11.24,55.31
1582001563.7298036,11.22,54.02
1582001564.2453175,11.32,46.52
1582001564.7612882,11.42,39.57
1582001565.2919433,11.50,36.69
1582001565.8079562,11.46,37.24
1582001566.3231971,11.32,45.48
1582001566.8384535,11.21,51.34
1582001567.354007,11.14,52.79
1582001567.9007413,11.10,55.15
1582001568.4009795,11.08,55.65
1582001568.9160836,11.33,41.48
1582001569.4471993,11.55,27.30
1582001569.9627097,11.76,15.50
1582001570.4782133,11.98,3.75
1582001571.0093734,12.07,0.09
1582001571.5094173,12.10,0.08
1582001572.0247617,12.13,0.08
1582001572.5404286,12.14,0.08
1582001573.0562131,12.16,0.08
1582001573.5868475,12.18,0.07
1582001574.102349,12.19,0.07
1582001574.6178634,12.20,0.07
1582001575.1333556,12.21,0.07
1582001575.6491458,12.22,0.07
1582001576.1799817,12.23,0.07
1582001576.6956987,12.24,0.07
1582001577.2110007,12.24,0.06
1582001577.726496,12.25,0.06
1582001578.2576277,12.26,0.06
1582001578.773414,12.26,0.06
1582001579.2734761,12.27,0.07
1582001579.8042645,12.28,0.06
1582001580.3196294,12.28,0.06
1582001580.8351367,12.29,0.07
1582001581.3662956,12.29,0.06
1582001581.8666646,12.30,0.06
1582001582.3972645,12.30,0.06
1582001582.9283974,12.31,0.06
1582001583.459566,12.31,0.06
1582001583.975026,12.31,0.06
1582001584.4749527,12.31,0.06
1582001584.9904563,12.32,0.06
1582001585.5215383,12.32,0.06
1582001586.0216355,12.33,0.06
1582001586.5525413,12.33,0.06
1582001587.0680926,12.33,0.06
1582001587.5835552,12.33,0.06
1582001588.1147075,12.34,0.06
1582001588.630163,12.34,0.06
1582001589.130334,12.34,0.06
1582001589.6612165,12.34,0.05
1582001590.1767364,12.34,0.05
1582001590.6921751,12.35,0.06
1582001591.2233858,12.35,0.05
1582001591.7393446,12.35,0.06
1582001592.2390883,12.35,0.05
1582001592.769816,12.35,0.05
1582001593.3009362,12.35,0.05
1582001593.8014598,12.36,0.05
1582001594.3170133,12.36,0.05
1582001594.8322804,12.36,0.06
1582001595.34778,12.36,0.06
1582001595.8630686,12.36,0.06
1582001596.3939664,12.36,0.06
1582001596.909979,12.36,0.06
1582001597.4406388,12.36,0.06
1582001597.9561288,12.37,0.06
1582001598.4716,12.37,0.06
1582001599.0027223,12.37,0.06
1582001599.5030842,12.37,0.06
1582001600.018517,12.36,0.59
1582001600.5492272,12.35,1.29
1582001601.0804222,12.34,1.64
1582001601.5807397,12.31,3.40
1582001602.0957322,12.25,5.24
1582001602.6117408,12.19,9.69
1582001603.127272,12.16,11.20
1582001603.657873,12.11,13.39
1582001604.189023,12.06,15.66
1582001604.688913,12.00,18.08
1582001605.2202775,11.93,21.43
1582001605.7357514,11.82,27.06
1582001606.251011,11.70,32.94
1582001606.7665598,11.64,35.90
1582001607.2976255,11.52,41.84
1582001607.8131852,11.43,46.16
1582001608.313465,11.37,47.55
1582001608.8441474,11.26,54.92
1582001609.3596423,11.12,60.37
1582001609.8751442,11.08,61.76
1582001610.3908553,11.02,65.03
1582001610.9218166,10.88,71.87
1582001611.4372854,10.82,73.87
1582001611.9684079,10.76,74.58
1582001612.468557,10.69,74.83
1582001612.999414,10.63,74.95
1582001613.4995253,10.57,75.10
1582001614.0304208,10.50,75.17
1582001614.545926,10.46,75.19
1582001615.0614524,10.45,75.18
1582001615.576916,10.52,74.87
1582001616.0924642,10.57,74.26
1582001616.6235948,10.64,69.40
1582001617.1396096,10.86,56.85
1582001617.6545641,11.02,42.97
1582001618.18572,11.20,34.11
1582001618.7014751,11.29,27.69
1582001619.2014024,11.44,19.30
1582001619.7321973,11.55,13.78
1582001620.2633114,11.65,8.26
1582001620.763665,11.71,5.89
1582001621.2943594,11.79,2.65
1582001621.8101075,11.85,0.26
1582001622.3253305,11.88,0.10
1582001622.8408802,11.90,0.09
1582001623.3568532,11.92,0.09
